iter	Logloss
0	0.6750226353
1	0.6606776664
2	0.6495292219
3	0.6402438825
4	0.6333431431
5	0.6273812744
6	0.622601212
7	0.6186051688
8	0.6153091448
9	0.6126313372
10	0.6102443098
11	0.6084456403
12	0.6068861642
13	0.6055035052
14	0.60436122
15	0.6033438686
16	0.6024738368
17	0.6017146816
18	0.6011463431
19	0.6005848284
20	0.5999146397
21	0.5994227434
22	0.5989643851
23	0.5985746338
24	0.5982335013
25	0.5979154314
26	0.5975985474
27	0.5972903146
28	0.5970197806
29	0.5967947859
30	0.5965425153
31	0.5963322736
32	0.5960784947
33	0.5956979701
34	0.5955011614
35	0.5953363926
36	0.5951242275
37	0.5949880772
38	0.5948057513
39	0.5946756627
40	0.594499632
41	0.5943033639
42	0.5941273908
43	0.5939178519
44	0.5938109201
45	0.5936419451
46	0.593469669
47	0.5933139195
48	0.5931795027
49	0.5928245501
50	0.5926549543
51	0.5925078073
52	0.5922413714
53	0.5920986171
54	0.5918351894
55	0.5917025896
56	0.5914969622
57	0.5912556658
58	0.5911223127
59	0.5910069563
60	0.5908893886
61	0.5908079415
62	0.5905793474
63	0.5904433576
64	0.5903261335
65	0.5902415684
66	0.5901379534
67	0.5900126134
68	0.5899084874
69	0.5897445173
70	0.5896521589
71	0.5894532488
72	0.5893126988
73	0.5891634626
74	0.5889402379
75	0.5888052054
76	0.588628704
77	0.5885125785
78	0.588391837
79	0.5882251081
80	0.5880669992
81	0.587933517
82	0.5878000035
83	0.5876812762
84	0.5874955636
85	0.5874130999
86	0.58726713
87	0.5871652448
88	0.5870599888
89	0.5869329625
90	0.5867977103
91	0.5866962228
92	0.5865940813
93	0.5864977522
94	0.5864177979
95	0.5862369699
96	0.5861490758
97	0.5860716239
98	0.5859938372
99	0.5858845354
100	0.5857966326
101	0.5856860142
102	0.5855582223
103	0.585416047
104	0.585324871
105	0.5852099679
106	0.5851323539
107	0.5850059797
108	0.5848720546
109	0.5847547991
110	0.5846508458
111	0.5845395002
112	0.5844042672
113	0.5843067365
114	0.5842207014
115	0.5841334124
116	0.5840336007
117	0.5839269828
118	0.5837884504
119	0.5836852661
120	0.5835803153
121	0.5834704921
122	0.5833823887
123	0.5832721313
124	0.5831549438
125	0.5830555821
126	0.5829033098
127	0.5828450195
128	0.5827062116
129	0.5825643991
130	0.5824294625
131	0.5823069877
132	0.5822255929
133	0.5821489014
134	0.5820754761
135	0.5819897932
136	0.5819006766
137	0.5818264021
138	0.5817391305
139	0.5816667219
140	0.5815128767
141	0.5814055211
142	0.581200211
143	0.5811244768
144	0.581040564
145	0.5809564104
146	0.5808234916
147	0.5807123431
148	0.5805927822
149	0.5805042236
150	0.5803991124
151	0.5803222133
152	0.5802636719
153	0.5801818516
154	0.5801043143
155	0.5799875523
156	0.5799240792
157	0.5798462856
158	0.5797458235
159	0.5796574358
160	0.5795557949
161	0.5794744385
162	0.5793867344
163	0.5793079729
164	0.5792094953
165	0.5791505005
166	0.5790461304
167	0.5789918335
168	0.5788830375
169	0.5787658395
170	0.5786821742
171	0.5786300851
172	0.5785730364
173	0.5784272914
174	0.578335791
175	0.5782706665
176	0.5782295916
177	0.5781482596
178	0.5779983468
179	0.5778851597
180	0.5777809065
181	0.5777294399
182	0.577588351
183	0.5774926043
184	0.5774246443
185	0.577354058
186	0.5773054827
187	0.5772365932
188	0.577150422
189	0.5770645595
190	0.5770017561
191	0.5769097395
192	0.5768512765
193	0.5767681588
194	0.5766911883
195	0.5766013341
196	0.5764915126
197	0.5764151768
198	0.5763294747
199	0.5762361189
