iter	Passed	Remaining
0	27	5450
1	71	7048
2	125	8209
3	176	8625
4	211	8266
5	247	7992
6	283	7816
7	318	7650
8	347	7370
9	381	7255
10	414	7121
11	446	6990
12	482	6941
13	514	6836
14	547	6753
15	586	6739
16	620	6679
17	651	6590
18	683	6515
19	715	6439
20	750	6394
21	780	6317
22	815	6272
23	847	6211
24	880	6164
25	913	6112
26	949	6085
27	989	6077
28	1021	6020
29	1048	5941
30	1078	5879
31	1105	5802
32	1134	5742
33	1165	5689
34	1188	5602
35	1214	5531
36	1239	5460
37	1260	5374
38	1285	5306
39	1311	5247
40	1339	5193
41	1365	5137
42	1390	5077
43	1417	5024
44	1447	4984
45	1482	4962
46	1512	4924
47	1533	4855
48	1560	4809
49	1592	4776
50	1620	4735
51	1643	4677
52	1663	4613
53	1678	4539
54	1700	4482
55	1721	4425
56	1741	4369
57	1768	4329
58	1793	4285
59	1814	4234
60	1837	4186
61	1860	4141
62	1882	4092
63	1904	4047
64	1924	3997
65	1945	3949
66	1966	3904
67	1986	3856
68	2008	3813
69	2031	3772
70	2055	3735
71	2082	3701
72	2111	3673
73	2142	3648
74	2170	3617
75	2204	3597
76	2237	3574
77	2265	3543
78	2287	3503
79	2307	3461
80	2329	3421
81	2351	3384
82	2384	3361
83	2417	3338
84	2441	3303
85	2467	3270
86	2496	3242
87	2524	3213
88	2557	3189
89	2582	3156
90	2602	3117
91	2623	3079
92	2647	3045
93	2672	3013
94	2702	2986
95	2731	2959
96	2761	2932
97	2794	2908
98	2823	2880
99	2848	2848
100	2877	2820
101	2907	2793
102	2934	2763
103	2965	2737
104	2999	2713
105	3021	2679
106	3043	2645
107	3063	2610
108	3086	2577
109	3115	2549
110	3146	2523
111	3186	2503
112	3223	2482
113	3256	2456
114	3289	2431
115	3318	2402
116	3352	2377
117	3386	2353
118	3420	2328
119	3456	2304
120	3492	2280
121	3527	2255
122	3555	2225
123	3588	2199
124	3620	2172
125	3643	2140
126	3662	2105
127	3684	2072
128	3704	2039
129	3728	2007
130	3757	1979
131	3788	1951
132	3821	1925
133	3854	1898
134	3888	1872
135	3916	1843
136	3940	1811
137	3963	1780
138	3984	1748
139	4007	1717
140	4027	1685
141	4052	1655
142	4084	1628
143	4123	1603
144	4165	1579
145	4201	1553
146	4228	1524
147	4254	1494
148	4279	1464
149	4304	1434
150	4330	1405
151	4355	1375
152	4377	1344
153	4395	1312
154	4416	1282
155	4435	1250
156	4454	1220
157	4476	1189
158	4498	1159
159	4527	1131
160	4556	1103
161	4584	1075
162	4612	1046
163	4639	1018
164	4668	990
165	4702	963
166	4738	936
167	4776	909
168	4808	882
169	4841	854
170	4874	826
171	4904	798
172	4938	770
173	4970	742
174	4996	713
175	5024	685
176	5048	656
177	5069	626
178	5090	597
179	5108	567
180	5129	538
181	5154	509
182	5180	481
183	5209	452
184	5233	424
185	5260	395
186	5286	367
187	5314	339
188	5344	311
189	5374	282
190	5405	254
191	5434	226
192	5461	198
193	5491	169
194	5515	141
195	5541	113
196	5576	84
197	5611	56
198	5648	28
199	5679	0
